filename,split,channel,min,max,mean,std,rms
1.edf,train,EEG Fp1,-0.00051,0.001132,-1.4e-05,3e-05,3.3e-05
1.edf,train,EEG Fp2,-0.0006,0.000621,-2.7e-05,2.3e-05,3.5e-05
1.edf,train,EEG Fpz,-0.000928,0.000588,-1.7e-05,2.7e-05,3.2e-05
1.edf,train,EEG F7,-0.000704,0.000514,-1.5e-05,1.5e-05,2.1e-05
1.edf,train,EEG F3,-0.000201,0.000336,1.3e-05,1.1e-05,1.7e-05
1.edf,train,EEG Fz,-3.3e-05,0.000215,5.8e-05,1e-05,5.9e-05
1.edf,train,EEG F4,-0.000355,0.000397,-1.8e-05,1e-05,2.1e-05
1.edf,train,EEG F8,-0.000414,0.000288,-2.3e-05,1.3e-05,2.7e-05
1.edf,train,EEG FC5,-0.000336,0.000338,-8e-06,1.1e-05,1.4e-05
1.edf,train,EEG FC1,-9.9e-05,6.4e-05,-2.8e-05,6e-06,2.9e-05
1.edf,train,EEG FC2,-1.4e-05,0.000205,4.9e-05,6e-06,4.9e-05
1.edf,train,EEG FC6,-0.000358,0.000316,-2.8e-05,9e-06,2.9e-05
1.edf,train,EEG M1,-0.000172,0.000175,-2.1e-05,1.4e-05,2.5e-05
1.edf,train,EEG T7,-0.000555,0.000275,-1.6e-05,1.2e-05,2e-05
1.edf,train,EEG C3,-0.000299,0.00022,-3.1e-05,7e-06,3.1e-05
1.edf,train,EEG Cz,0.0,2.6e-05,1.9e-05,3e-06,1.9e-05
1.edf,train,EEG C4,0.0,0.000264,0.000161,8e-06,0.000161
1.edf,train,EEG T8,-2.4e-05,0.0003,0.000169,1.2e-05,0.00017
1.edf,train,EEG M2,-0.000268,0.000169,-3e-06,1.4e-05,1.4e-05
1.edf,train,EEG CP5,-0.000119,0.000524,0.000155,1e-05,0.000156
1.edf,train,EEG CP1,0.0,0.000241,0.000172,9e-06,0.000172
1.edf,train,EEG CP2,0.0,0.000229,0.000186,7e-06,0.000186
1.edf,train,EEG CP6,0.0,0.000311,0.000144,1e-05,0.000144
1.edf,train,EEG P7,-0.00021,0.000706,0.000164,1.2e-05,0.000164
1.edf,train,EEG P3,0.0,0.000266,0.000167,1e-05,0.000168
1.edf,train,EEG Pz,0.0,0.000255,0.000156,9e-06,0.000157
1.edf,train,EEG P4,0.0,0.00064,0.000144,1.6e-05,0.000144
1.edf,train,EEG P8,0.0,0.000526,0.000158,1.3e-05,0.000158
1.edf,train,EEG POz,0.0,0.000216,0.00014,1.1e-05,0.000141
1.edf,train,EEG O1,0.0,0.000302,0.000173,1.4e-05,0.000174
1.edf,train,EEG Oz,0.0,0.000276,0.000163,1.2e-05,0.000164
1.edf,train,EEG O2,0.0,0.000317,0.00016,1.3e-05,0.00016
1.edf,train,EOG EOGh,-0.003559,0.003718,9e-05,0.000299,0.000312
1.edf,train,EOG EOGv,-0.000681,0.002096,-0.000127,7.1e-05,0.000146
1.edf,train,EMG EMG_RH,-0.001631,0.001605,0.000171,9.2e-05,0.000194
1.edf,train,EMG EMG_LH,-0.002695,0.004173,-0.000139,0.000125,0.000187
1.edf,train,EMG EMG_RF,-0.001783,0.001076,-0.000125,5.9e-05,0.000138
1.edf,train,EEG AF7,-0.000599,0.000825,2e-06,2.7e-05,2.7e-05
1.edf,train,EEG AF3,-0.001032,0.000702,1.3e-05,1.6e-05,2.1e-05
1.edf,train,EEG AF4,-0.000534,0.000514,-2e-06,1.6e-05,1.6e-05
1.edf,train,EEG AF8,-0.000542,0.001013,9.4e-05,2.4e-05,9.7e-05
1.edf,train,EEG F5,-0.000632,0.000469,-5.3e-05,1.5e-05,5.5e-05
1.edf,train,EEG F1,-0.000113,0.000136,-3.7e-05,1e-05,3.8e-05
1.edf,train,EEG F2,0.0,0.000426,8.4e-05,1e-05,8.5e-05
1.edf,train,EEG F6,-0.000566,0.000355,-3.7e-05,1.2e-05,3.9e-05
1.edf,train,EEG FC3,-0.000225,0.000297,-3.6e-05,8e-06,3.7e-05
1.edf,train,EEG FCz,-4.9e-05,4.8e-05,-2e-05,5e-06,2.1e-05
1.edf,train,EEG FC4,-0.000114,0.000334,1e-05,8e-06,1.3e-05
1.edf,train,EEG C5,-0.000385,0.000231,-5.7e-05,9e-06,5.8e-05
1.edf,train,EEG C1,-0.000116,2.6e-05,-4e-05,4e-06,4e-05
1.edf,train,EEG C2,-0.000101,0.0,-4.4e-05,4e-06,4.4e-05
1.edf,train,EEG C6,-0.000183,0.000266,-4.7e-05,8e-06,4.7e-05
1.edf,train,EEG CP3,-0.000193,0.000128,-3.7e-05,8e-06,3.8e-05
1.edf,train,EEG CPz,0.0,0.000255,0.000218,8e-06,0.000218
1.edf,train,EEG CP4,0.0,0.000269,0.000197,8e-06,0.000197
1.edf,train,EEG P5,-0.000108,0.000197,1.5e-05,9e-06,1.7e-05
1.edf,train,EEG P1,0.0,0.000268,0.000218,8e-06,0.000218
1.edf,train,EEG P2,0.0,0.000293,0.000229,9e-06,0.000229
1.edf,train,EEG P6,0.0,0.000317,0.000189,1.1e-05,0.00019
1.edf,train,EEG PO5,0.0,0.000321,0.000217,1.2e-05,0.000217
1.edf,train,EEG PO3,0.0,0.000297,0.000224,1.1e-05,0.000224
1.edf,train,EEG PO4,0.0,0.000261,0.000196,1.1e-05,0.000196
1.edf,train,EEG PO6,0.0,0.000283,0.000199,1.2e-05,0.0002
1.edf,train,EEG FT7,-0.000355,0.000777,0.000217,1.4e-05,0.000218
1.edf,train,EEG FT8,-0.000133,0.000372,0.000197,1.2e-05,0.000197
1.edf,train,EEG TP7,-4.1e-05,0.000728,0.000229,1.3e-05,0.00023
1.edf,train,EEG TP8,0.0,0.000624,0.000228,1.2e-05,0.000228
1.edf,train,EEG PO7,0.0,0.000345,0.000217,1.2e-05,0.000217
1.edf,train,EEG PO8,0.0,0.000322,0.000199,1.3e-05,0.0002
1.edf,train,EEG FT9,-0.000197,0.000463,0.00011,1.3e-05,0.000111
1.edf,train,EEG FT10,-0.000164,0.000311,0.000111,1.4e-05,0.000112
1.edf,train,EEG TPP9h,-0.000915,8e-05,-3.8e-05,1.3e-05,4e-05
1.edf,train,EEG TPP10h,-0.000304,0.000206,0.000111,1.2e-05,0.000112
1.edf,train,EEG PO9,-0.000222,0.00029,0.000118,1.3e-05,0.000119
1.edf,train,EEG PO10,-0.000246,0.000137,-6e-05,1.3e-05,6.2e-05
1.edf,train,EEG P9,-0.00047,0.000429,9.9e-05,1.4e-05,0.0001
1.edf,train,EEG P10,-0.000455,0.000229,0.000101,1.3e-05,0.000101
